date,snow_depth_m
1970-10-24,0
1970-10-27,0.12
1970-10-30,0.09
1970-11-03,0.13
1970-11-06,0.12
1970-11-09,0.13
1970-11-12,0.13
1970-11-15,0.16
1970-11-18,0.19
1970-11-21,0.25
1970-11-24,0.26
1970-11-27,0.24
1970-11-30,0.25
1970-12-03,0.26
1970-12-06,0.36
1970-12-09,0.43
1970-12-12,0.32
1970-12-15,0.48
1970-12-18,0.5
1970-12-21,0.44
1970-12-24,0.43
1970-12-27,0.45
1970-12-30,0.4
1971-01-03,0.39
1971-01-06,0.56
1971-01-09,0.57
1971-01-12,0.68
1971-01-15,0.93
1971-01-18,1.11
1971-01-21,1.01
1971-01-24,0.99
1971-01-27,1.17
1971-01-30,1.24
1971-02-03,1.41
1971-02-06,1.47
1971-02-09,1.4
1971-02-12,1.92
1971-02-15,2.03
1971-02-18,2.46
1971-02-21,2.53
1971-02-24,2.73
1971-02-27,2.67
1971-03-03,2.65
1971-03-06,2.62
1971-03-09,2.79
1971-03-13,2.93
1971-03-20,3.09
1971-03-27,2.76
1971-03-30,2.73
1971-04-04,2.9
1971-04-09,2.77
1971-04-12,2.78
1971-04-15,2.76
1971-04-18,2.76
1971-04-21,2.7
1971-04-24,2.61
1971-04-27,2.52
1971-04-30,2.53
1971-05-03,2.55
1971-05-06,2.52
1971-05-09,2.44
1971-05-12,2.43
1971-05-15,2.43
1971-05-18,2.48
1971-05-21,2.41
1971-05-24,2.16
1971-05-27,2.01
1971-05-30,1.88
1971-06-02,1.62
1971-06-06,1.43
1971-06-09,1.3
1971-06-12,1.11
1971-06-15,0.84
1971-06-18,0.54
1971-06-21,0.19
1971-06-23,0
